Município/Estado,Arroz (2021),Arroz (2022),Arroz (2023),Soja (2021),Soja (2022),Soja (2023),Trigo (2021),Trigo (2022),Trigo (2023)
Rancho Alegre,-,-,-,12.930,12.530,12.530,320,50,-
Rancho Alegre D'Oeste,-,-,-,19.000,19.000,19.125,100,100,150
Realeza,1,1,1,16.400,16.850,17.200,10.500,10.500,11.000
Rebouças,10,10,8,25.000,21.000,22.200,2.500,4.600,2.500
Renascença,1,1,1,24.300,25.950,25.100,8.000,8.000,7.900
Reserva,9,9,5,25.350,26.050,27.000,5.200,7.000,6.500
Reserva do Iguaçu,5,3,3,16.200,16.700,16.520,2.600,3.000,2.700
Ribeirão Claro,20,30,15,1.800,1.800,1.800,100,100,600
Ribeirão do Pinhal,20,9,9,12.780,15.300,12.700,2.400,2.400,4.000
Rio Azul,75,70,75,17.000,17.000,17.000,650,800,800
Rio Bom,3,3,2,6.400,6.500,6.700,3.000,3.000,4.000
Rio Bonito do Iguaçu,25,25,30,24.830,27.830,30.100,4.000,4.000,6.800
Rio Branco do Ivaí,2,3,3,7.500,12.600,12.600,5.000,3.630,5.460
Rio Branco do Sul,-,-,3,200,205,205,-,-,-
Rio Negro,2,2,2,10.100,10.450,11.350,1.200,1.300,1.130
Rolândia,-,-,-,27.260,31.000,32.500,12.700,17.700,19.000
Roncador,8,-,-,36.000,36.400,36.100,16.000,13.000,19.000
Rondon,-,-,-,600,600,600,-,-,-
Rosário do Ivaí,1,1,1,4.300,4.200,4.200,600,810,1.660
Sabáudia,-,-,-,9.250,9.800,11.050,700,700,2.000
Salgado Filho,1,1,1,2.600,2.870,3.200,900,1.200,1.500
Salto do Itararé,30,20,20,2.900,2.500,2.800,1.100,1.100,1.100
Salto do Lontra,1,1,1,12.600,13.330,13.180,3.200,3.500,7.000
Santa Amélia,-,-,1,3.910,3.900,3.900,640,640,1.260
Santa Cecília do Pavão,4,3,2,5.850,5.720,5.720,4.970,4.970,4.230
Santa Cruz de Monte Castelo,1.813,1.813,1.813,6.500,7.500,5.500,-,-,-
Santa Fé,-,-,-,8.600,9.255,9.255,-,-,150
Santa Helena,-,-,-,27.800,27.300,28.070,1.100,1.000,350
Santa Inês,-,-,-,1.000,1.000,903,-,-,-
Santa Isabel do Ivaí,2.525,2.525,2.622,4.000,4.000,4.050,-,-,-
Santa Izabel do Oeste,1,1,1,15.600,16.070,16.400,7.000,6.100,7.500
Santa Lúcia,5,5,5,4.203,4.203,4.203,910,910,910
